video_id,video_title,upload_date,view_count,like_count
hqDm7on3Fv0,"Nasaf effekti, Endi OCHLda 4 ta klubimiz ishtirok etishi mumkin",2021-09-01,43224,824
Ik8mDgwKixY,O&#39;zbekiston MTJ. Masharipov va Abdullayevni &quot;tepishdi&quot;,2021-09-01,46367,735
zEHtR2gYq-g,&quot;Tezkor studiya&quot;. &quot;Navbahor&quot; va Andrey Kanchelskis kim haq? SILA yuristi bilan jonli suhbat,2021-08-31,2564,49
QMyW_38pI6w,"Yaxshiboyev Chexiya klubiga o&#39;tdi, Ibrohimxalilga Jenoadan taklif bo&#39;lgandi ammo..",2021-08-30,17715,472
uDZl7lNYlfU,O&#39;zbekiston U-21 terma jamoasi yig&#39;inidan reportaj (+Kapadzedan intervyu),2021-08-30,10475,200
zZKh05ndvRw,Superliga-2021. 16-turning eng chiroyli gollari TOP-5,2021-08-30,5487,77
XEV81xZKJdI,Superliga-2021. 16-turning barcha gollari,2021-08-30,4351,61
kmF1fX8abCs,Superliga. Nasaf - Navbahor 0:1. Highlights,2021-08-29,14610,270
lXOtN9ws8H8,"O&#39;zbekiston MTJ. Masharipov va Shukurov keldi, Shomurodov esa...",2021-08-29,22444,514
zmZA6c2_VWA,"&quot;Tezkor studiya&quot;. Superliga, Paralimpiya va Yevrofutbol haqida",2021-08-28,3256,110
_mQGE-zLWNw,Superliga. Lokomotiv - Turon 3:1. Highlights,2021-08-27,5149,122
g5ESveCuk-c,Srechko Katanets: &quot;Oldimizda aniq maqsad bor - Jahon chempionatiga chiqish&quot;,2021-08-27,35040,623
zXMFt8K0rCw,Superliga. Paxtakor - AGMK 1:0. Highlights,2021-08-26,4625,93
xA8_bZ5mqWs,Roma vs Trabzonspor jonli efir  LIVE 26.08.2021,2021-08-26,18658,249
lwbXiVTCD94,Superliga. Andijon - Bunyodkor 1:4. Highlights,2021-08-26,4150,87
691gUPOtHmQ,Superliga. So&#39;g&#39;diyona - Qizilqum 2:1. Highlights,2021-08-25,4547,102
4ep5PGIlv68,Superliga. &quot;Qo&#39;qon-1912&quot; - &quot;Surxon&quot; 2:0. Highlights,2021-08-25,2417,53
Ty98J5yotl4,"&quot;Тезкор студия&quot;. &quot;Насаф&quot; - &quot;Аҳал&quot;, Суперлига бугунги ўйинлар LIVE",2021-08-25,6520,196
GUaqHb5x3Og,&quot;Nasaf&quot; OFK Kubogi doirasida &quot;Ahal&quot;ga qarshi uchrashuv oldidan rasmiy mashg&#39;ulot o&#39;tkazdi,2021-08-24,4465,151
rY1AcQF2Xt8,Nasaf vs Ahal OFK kubogi chorak final. O&#39;yin haqida batafsil,2021-08-24,21814,655
InuEn0BPTqg,Eldor 1-turda asosiy tarkibda maydonga tushadimi. Roma vs Fiorentina A seriya 1-tur,2021-08-21,17031,467
pFbVBgIY1Tk,&quot;Тезкор студия&quot;. Шомуродов &quot;Рома&quot;да гол урди. Ўзбекистон кубогида бугун иккита ажойиб ўйин бор,2021-08-20,7382,226
viTBsYDEAbg,Shomurodov Trabzonsporga ajoyib gol urdi,2021-08-19,16195,515
z6ogTP_XTFM,"&quot;Тезкор студия&quot;. Бугун Шомуродов, Машарипов ўйнайди, Ўзбекистон Испанияга қарши",2021-08-19,9229,253
Y2HaM1FaC9o,Roma vs Trabzonspor #LIVE jonli_efir,2021-08-19,60158,802
suO-jUcjvAw,Asr transferi Ronaldu barchasini ma&#39;lum qildi,2021-08-19,5565,227
FApgv238xt4,Terma jamoa. Katanes necha pullik murabbiy?,2021-08-17,19975,481
GUrnV7mG3Bw,Superliga-2021. 15-turning eng chiroyli gollari TOP-5,2021-08-16,4454,72
-Kf4TfeDzps,Superliga-2021. 15-turning barcha gollari,2021-08-16,3387,59
AJuR8xkvP8E,Superliga. Navbahor - Lokomotiv 1:0. Highlights,2021-08-15,13435,237
G1Hr48eRXWE,Superliga. AGMK - Nasaf 1:1. Highlights,2021-08-15,7680,160
UCVxuffyV08,Superliga. Turon - So&#39;g&#39;diyona 1:0. Highlights,2021-08-14,7478,151
ROOhv6wm5FM,Superliga. Qizilqum - Qo&#39;qon-1912 - 2:2. Highlights,2021-08-14,4779,81
E154tMPfJ2k,O&#39;zbekiston futzal terma jamoasi Ispaniyaga uchib ketdi - keyingi manzil JCH,2021-08-14,3414,81
VKFNUDdZzh4,Superliga. Bunyodkor - Metallurg 2:0. Highlights,2021-08-13,4958,90
pA64SEfVVl4,Superliga. Mash&#39;al - Paxtakor 0:1. Highlights,2021-08-13,4491,72
Ha_iPzAcTTU,Olimpiada chempioni va rekordchisi Akbar Jo&#39;rayev bilan suhbat,2021-08-13,5497,163
l34PwgCKVBU,Srechko Katanes Terma Jamoa bosh murabbiyi,2021-08-13,30216,591
Zyf_5O-ey2U,Bahodir Ahmedov va futzalchilar matbuot anjumanida qatnashishdi,2021-08-12,2353,101
OZxzL913_oo,"&quot;Tezkor studiya&quot;. O&#39;zbekiston MTJ bo&#39;lajak bosh murabbiyi ma&#39;lum, Messi PSJda",2021-08-11,12493,337
-0eXA9L__eQ,Superliga-2021. 14-turning eng chiroyli gollari TOP-5,2021-08-09,5555,93
bM_ALwNRMns,Superliga-2021. 14-turning barcha gollari,2021-08-09,2257,28
gItdMRERtq8,Superliga. So&#39;gdiyona - Navbahor 1:0. Highlights,2021-08-08,4991,93
vRlP3YiGefw,Superliga. Qo’qon-1912 - Turon 2:2. Highlights,2021-08-08,6274,98
guljJbc0zk4,Superliga. Lokomotiv - AGMK 1:1. Highlights,2021-08-07,4326,82
f59Gqcu-PJE,Superliga. Andijon - Qizilqum 1:1.Highlights,2021-08-07,5223,84
_MLraNnaFTk,Superliga. Paxtakor - Nasaf 1:0. Highlights,2021-08-06,9537,158
JgcarkweqM8,Superliga. Mashal - Bunyodkor 1:1. Highlights,2021-08-06,3630,52
ICwCtNZtQug,Davlat Bobonov qanday oilada tarbiya ko&#39;rgan? Uning ota-onasi bilan suhbat,2021-08-04,7593,231
rHuI-4CFqmg,"Rimda Eldordan nimalar kutishmoqda, Klub tarixi va buguni haqida batafsil",2021-08-04,19261,586
x8fo6m8h5e4,Mourinyo Eldor bilan nimani gaplashdi? Eldordan ilk intervyu,2021-08-03,158576,2882
298pH5zPYxc,Superliga-2021. 13-turning barcha gollari,2021-08-03,3605,56
7XuNlYBzpoo,"&quot;Tezkor studiya&quot;. Superligada tanaffus tugadi, Olimpiada esa davom etadi",2021-08-02,4454,135
jX7OFp2EIXk,Superliga. Qo&#39;qon-1912 - Navbahor 1:2. Highlights,2021-08-01,20277,365
BtIcnKoMM-U,Superliga. Metallurg - Qizilqum 1:2. Highlights,2021-08-01,4811,103
z4ogc9pVta0,"Tokio-2020. Bahodir Jalolov medalni naqd qildi, Tasmuradov medalsiz qoldi",2021-08-01,23606,447
Zb5reXhq4GE,Superliga. Paxtakor - Bunyodkor 1:0. Highlights,2021-07-31,8139,141
hv2ThWPah_E,Superliga. So&#39;g&#39;diyona - AGMK 0:0. Highlights,2021-07-31,3311,72
2qYc-oxL3f4,Superliga. Mash&#39;al - Surxon 2:1. Highlights,2021-07-30,5817,120
box6u-fkzw,Superliga. Lokomotiv - Nasaf 2:0. Highlights,2021-07-30,7195,138
nnAoo9evVbU,"&quot;Tezkor studiya&quot;. Bahodir Jalolovda g&#39;alaba, qolganlardachi?",2021-07-29,8093,277
Ud4thA-eOuU,Breaking Eldor Shomurodov Romaga o&#39;tdi,2021-07-29,31962,950
8STHkEecLI,"&quot;Tezkor studiya&quot;. Bronza medal muborak, bokschilarimizga esa nohaqlik qilishdi",2021-07-28,10272,298
yUNe8kAtchY,Mourinyoga Eldor kerak #Tahlil,2021-07-27,18883,639
